date,,activity
2018/3/20 11:17,0.006987847,STATIC
2018/3/20 11:17,0.00553805,STATIC
2018/3/20 11:17,0.002563201,STATIC
2018/3/20 11:17,0.002944486,STATIC
2018/3/20 11:17,0.001417745,STATIC
2018/3/20 11:17,0.005293392,STATIC
2018/3/20 11:17,0.000616441,STATIC
2018/3/20 11:17,0.007001428,STATIC
2018/3/20 11:17,0.012728315,STATIC
2018/3/20 11:17,0.002894823,STATIC
2018/3/20 11:17,0.003604164,STATIC
2018/3/20 11:17,0.005523586,STATIC
2018/3/20 11:17,0.00539166,STATIC
2018/3/20 11:17,0.001452584,STATIC
2018/3/20 11:17,0.015557313,STATIC
2018/3/20 11:17,0.026618978,STATIC
2018/3/20 11:17,0.000927362,STATIC
2018/3/20 11:17,0.005713143,STATIC
2018/3/20 11:17,0.018526468,STATIC
2018/3/20 11:17,0.001769181,STATIC
2018/3/20 11:17,0.007778175,STATIC
2018/3/20 11:17,0.021363052,STATIC
2018/3/20 11:17,0.003464102,STATIC
2018/3/20 11:17,0.000244949,STATIC
2018/3/20 11:17,0.007633479,STATIC
2018/3/20 11:17,0.001414214,STATIC
2018/3/20 11:17,0.008076509,STATIC
2018/3/20 11:17,0.008487638,STATIC
2018/3/20 11:17,0.004261455,STATIC
2018/3/20 11:17,0.006512296,STATIC
2018/3/20 11:17,0.007364781,STATIC
2018/3/20 11:17,0.006676077,STATIC
2018/3/20 11:17,0.006975672,STATIC
2018/3/20 11:17,0.007783958,STATIC
2018/3/20 11:17,0.006835203,STATIC
2018/3/20 11:17,0.003678315,STATIC
2018/3/20 11:17,0.010048881,STATIC
2018/3/20 11:17,0.009949874,STATIC
2018/3/20 11:17,0.008629021,STATIC
2018/3/20 11:17,0.003394113,STATIC
2018/3/20 11:17,0.00087178,STATIC
2018/3/20 11:17,0.008204877,STATIC
2018/3/20 11:17,0.008863972,STATIC
2018/3/20 11:17,0.008696551,STATIC
2018/3/20 11:17,0.007213182,STATIC
2018/3/20 11:17,0.009192388,STATIC
2018/3/20 11:17,0.013798913,STATIC
2018/3/20 11:17,0.154258355,SIT_MOVE
2018/3/20 11:17,0.218254301,SIT_MOVE
2018/3/20 11:17,0.169260391,SIT_MOVE
2018/3/20 11:17,0.071667775,STATIC
2018/3/20 11:17,0.087270614,SIT_MOVE
2018/3/20 11:17,0.228743896,SIT_MOVE
2018/3/20 11:17,0.097099588,SIT_MOVE
2018/3/20 11:17,0.29121832,SIT_MOVE
2018/3/20 11:17,0.106133595,SIT_MOVE
2018/3/20 11:17,0.242035824,SIT_MOVE
2018/3/20 11:17,0.169636169,SIT_MOVE
2018/3/20 11:17,0.125077616,SIT_MOVE
2018/3/20 11:17,0.030226313,SIT_MOVE
2018/3/20 11:17,0.11923762,SIT_MOVE
2018/3/20 11:17,0.202575887,SIT_MOVE
2018/3/20 11:17,0.083920617,SIT_MOVE
2018/3/20 11:17,0.063082644,SIT_MOVE
2018/3/20 11:17,0.099984949,SIT_MOVE
2018/3/20 11:17,0.328150225,SIT_MOVE
2018/3/20 11:17,0.894859201,SIT_MOVE
2018/3/20 11:17,0.312237025,SIT_MOVE
2018/3/20 11:17,0.137074724,SIT_MOVE
2018/3/20 11:17,0.306712031,SIT_MOVE
2018/3/20 11:17,0.333182277,SIT_MOVE
2018/3/20 11:17,0.32147818,SIT_MOVE
2018/3/20 11:17,0.457335949,SIT_MOVE
2018/3/20 11:17,0.649114874,SIT_MOVE
2018/3/20 11:17,0.20840691,SIT_MOVE
2018/3/20 11:17,0.599418543,SIT_MOVE
2018/3/20 11:17,0.197080364,SIT_MOVE
2018/3/20 11:17,0.36934136,SIT_MOVE
2018/3/20 11:17,0.123405065,SIT_MOVE
2018/3/20 11:17,0.754700311,SIT_MOVE
2018/3/20 11:17,0.134937652,SIT_MOVE
2018/3/20 11:17,0.619575613,SIT_MOVE
2018/3/20 11:17,0.436716876,SIT_MOVE
2018/3/20 11:17,0.14762659,SIT_MOVE
2018/3/20 11:17,0.388577444,SIT_MOVE
2018/3/20 11:17,0.875820718,SIT_MOVE
2018/3/20 11:17,0.134353787,SIT_MOVE
2018/3/20 11:17,0.122511959,SIT_MOVE
2018/3/20 11:17,0.029662603,SIT_MOVE
2018/3/20 11:17,0.083162612,SIT_MOVE
2018/3/20 11:17,0.106162281,SIT_MOVE
2018/3/20 11:17,0.173129634,SIT_MOVE
2018/3/20 11:17,0.220114198,SIT_MOVE
2018/3/20 11:17,0.173846915,SIT_MOVE
2018/3/20 11:17,0.271841884,SIT_MOVE
2018/3/20 11:17,0.140731802,SIT_MOVE
2018/3/20 11:17,0.124650993,SIT_MOVE
2018/3/20 11:17,0.01519671,STATIC
2018/3/20 11:17,0.072611156,STATIC
2018/3/20 11:17,0.147427101,SIT_MOVE
2018/3/20 11:17,0.086369786,SIT_MOVE
2018/3/20 11:17,0.101844587,SIT_MOVE
2018/3/20 11:17,0.074664784,SIT_MOVE
2018/3/20 11:17,0.022644205,SIT_MOVE
2018/3/20 11:17,0.102752664,SIT_MOVE
2018/3/20 11:17,0.134998778,SIT_MOVE
2018/3/20 11:17,0.184900216,SIT_MOVE
2018/3/20 11:17,0.164235289,SIT_MOVE
2018/3/20 11:17,0.139268015,SIT_MOVE
2018/3/20 11:17,0.286241297,SIT_MOVE
2018/3/20 11:17,0.090697905,SIT_MOVE
2018/3/20 11:17,0.125539277,SIT_MOVE
2018/3/20 11:17,0.039630544,STATIC
2018/3/20 11:17,0.062585062,STATIC
2018/3/20 11:17,0.019810098,STATIC
2018/3/20 11:17,0.065655464,STATIC
2018/3/20 11:17,0.07618681,STATIC
2018/3/20 11:17,0.314099522,SIT_MOVE
2018/3/20 11:17,0.133446656,SIT_MOVE
2018/3/20 11:17,0.033892034,STATIC
2018/3/20 11:17,0.043493793,STATIC
2018/3/20 11:17,0.104262122,SIT_MOVE
2018/3/20 11:17,0.057007631,STATIC
2018/3/20 11:17,0.032791157,STATIC
2018/3/20 11:17,0.077272181,SIT_MOVE
2018/3/20 11:17,0.015367824,SIT_MOVE
2018/3/20 11:17,0.090845969,SIT_MOVE
2018/3/20 11:17,0.103760638,SIT_MOVE
2018/3/20 11:17,0.052481139,STATIC
2018/3/20 11:17,0.108363186,SIT_MOVE
2018/3/20 11:17,0.134409821,SIT_MOVE
2018/3/20 11:17,0.153275993,SIT_MOVE
2018/3/20 11:17,0.160974159,SIT_MOVE
2018/3/20 11:17,0.146850502,STATIC
2018/3/20 11:17,0.039355813,STATIC
2018/3/20 11:17,0.086769292,SIT_MOVE
2018/3/20 11:17,0.013396641,STATIC
2018/3/20 11:17,0.054604579,SIT_MOVE
2018/3/20 11:17,0.029654511,STATIC
2018/3/20 11:17,0.063376573,STATIC
2018/3/20 11:17,0.046528056,STATIC
2018/3/20 11:17,0.027453961,STATIC
2018/3/20 11:17,0.01813367,STATIC
2018/3/20 11:17,0.01147214,STATIC
2018/3/20 11:17,0.041172928,STATIC
2018/3/20 11:17,0.014874139,STATIC
2018/3/20 11:17,0.024823175,STATIC
2018/3/20 11:17,0.028114231,STATIC
2018/3/20 11:17,0.029704545,STATIC
2018/3/20 11:17,0.065482975,STATIC
2018/3/20 11:17,0.090482263,STATIC
2018/3/20 11:17,0.051146163,STATIC
2018/3/20 11:17,0.012728315,STATIC
2018/3/20 11:17,0.049263983,STATIC
2018/3/20 11:17,0.035111537,STATIC
2018/3/20 11:17,0.081535636,STATIC
2018/3/20 11:17,0.047160471,STATIC
2018/3/20 11:17,0.084238471,STATIC
2018/3/20 11:17,0.059200929,STATIC
2018/3/20 11:17,0.057319107,STATIC
2018/3/20 11:17,0.056232375,STATIC
2018/3/20 11:17,0.045793231,STATIC
2018/3/20 11:17,0.035782398,STATIC
2018/3/20 11:17,0.010481889,STATIC
2018/3/20 11:17,0.025377352,STATIC
2018/3/20 11:17,0.024093568,STATIC
2018/3/20 11:17,0.025188489,STATIC
2018/3/20 11:17,0.027798022,STATIC
2018/3/20 11:17,0.02239107,STATIC
2018/3/20 11:17,0.021337526,STATIC
2018/3/20 11:17,0.036052323,STATIC
2018/3/20 11:17,0.022403794,STATIC
2018/3/20 11:17,0.028202128,STATIC
2018/3/20 11:17,0.0746684,STATIC
2018/3/20 11:17,0.041819971,STATIC
2018/3/20 11:17,0.113066441,STATIC
2018/3/20 11:17,0.0340824,STATIC
2018/3/20 11:17,0.042144632,STATIC
