date,p,activity
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:09,6,STAND
2018/3/20 12:09,6,STAND
2018/3/20 12:09,6,STAND
2018/3/20 12:09,6,STAND
2018/3/20 12:09,5,STAND
2018/3/20 12:09,5,STAND
2018/3/20 12:09,6,STAND
2018/3/20 12:09,6,STAND
2018/3/20 12:09,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,5,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,5,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,5,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,5,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:10,6,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,5,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,6,STAND
