date,lux,tem_in,tem_win,sonar_in,sonar_out,move,p,adx,ady,adz,awx,awy,awz,activity
2018-03-20 12:02:47,42,19.4,19.7,98,119,0,109.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.24,
2018-03-20 12:02:47,42,19.4,19.7,107,103,1,105.0,-0.95,0.01,-0.2,-0.95,-0.02,-0.24,
2018-03-20 12:02:48,42,19.4,19.7,97,113,1,108.0,-0.95,0.01,-0.2,-0.95,-0.02,-0.25,
2018-03-20 12:02:48,42,19.4,19.7,97,102,1,108.0,-0.96,0.01,-0.21,-0.94,-0.02,-0.24,
2018-03-20 12:02:48,41,19.4,19.7,101,107,1,103.0,-0.94,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:49,41,19.4,19.7,110,106,1,103.0,-0.95,0.01,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:02:50,40,19.4,19.7,102,115,1,107.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:50,42,19.4,19.7,105,112,0,106.0,-0.94,0.0,-0.19,-0.94,-0.02,-0.26,
2018-03-20 12:02:50,42,19.4,19.7,98,100,0,108.0,-0.96,0.0,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:02:51,41,19.4,19.7,102,107,0,106.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:51,41,19.4,19.6,101,111,0,100.0,-0.95,0.0,-0.19,-0.94,-0.02,-0.26,
2018-03-20 12:02:52,41,19.4,19.6,98,113,0,107.0,-0.95,0.0,-0.19,-0.94,-0.03,-0.25,
2018-03-20 12:02:52,41,19.4,19.6,111,106,0,107.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:52,41,19.4,19.6,101,108,0,107.0,-0.95,-0.0,-0.2,-0.95,-0.02,-0.25,
2018-03-20 12:02:53,41,19.4,19.6,102,115,0,121.0,-0.96,0.01,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:02:53,41,19.4,19.6,98,112,0,101.0,-0.95,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:02:54,41,19.4,19.6,97,106,0,108.0,-0.95,0.0,-0.19,-0.95,-0.02,-0.25,
2018-03-20 12:02:54,40,19.4,19.6,101,111,0,108.0,-0.94,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:54,40,19.4,19.6,101,108,1,101.0,-0.95,0.0,-0.2,-0.95,-0.02,-0.25,
2018-03-20 12:02:55,40,19.4,19.6,98,110,1,107.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:57,41,19.4,19.7,96,111,1,111.0,-0.95,0.0,-0.2,-0.95,-0.02,-0.25,
2018-03-20 12:02:57,42,19.4,19.7,104,112,0,110.0,-0.95,0.01,-0.2,-0.95,-0.02,-0.25,
